Unnamed: 0,Person,Start,End,Frequency,Odgovor na videoigre,Odgovor na glasbo
41,Klara,1,1,5,0,False
42,Klara,1,2,1,0,False
43,Klara,1,4,1,0,False
44,Klara,1,5,13,0,False
45,Klara,1,6,2,0,False
46,Klara,1,7,1,0,False
47,Klara,6,7,2,0,False
48,Klara,6,8,6,0,False
49,Klara,6,9,9,0,False
50,Klara,6,10,2,0,False
51,Lucija,1,1,16,0,False
52,Lucija,1,2,10,0,False
53,Lucija,1,3,4,0,False
54,Lucija,1,4,2,0,False
55,Lucija,1,5,1,0,False
67,NinaKa,1,1,20,0,False
68,NinaKa,1,2,8,0,False
69,NinaKa,1,3,8,0,False
70,NinaKa,1,4,5,0,False
71,NinaKa,1,5,6,0,False
72,NinaKa,1,7,1,0,False
73,NinaKa,6,6,6,0,False
74,NinaKa,6,7,12,0,False
75,NinaKa,6,8,10,0,False
76,NinaKa,6,9,12,0,False
77,NinaKa,6,10,8,0,False
113,Teja,1,1,5,0,False
114,Teja,1,2,4,0,False
115,Teja,1,3,7,0,False
116,Teja,1,4,11,0,False
117,Teja,1,5,15,0,False
118,Teja,1,6,4,0,False
119,Teja,1,7,2,0,False
120,Teja,1,8,1,0,False
121,Teja,1,9,1,0,False
122,Teja,1,10,1,0,False
123,Teja,1,11,1,0,False
124,Teja,1,15,2,0,False
125,Teja,1,18,1,0,False
126,Teja,1,21,5,0,False
127,Teja,6,9,1,0,False
128,Teja,6,10,1,0,False
129,Teja,6,21,1,0,False
130,Teja,11,13,1,0,False
131,Teja,11,16,1,0,False
12,Jan,1,1,4,0-5,False
13,Jan,1,2,6,0-5,False
14,Jan,1,3,8,0-5,False
15,Jan,1,4,7,0-5,False
16,Jan,1,5,7,0-5,False
17,Jan,1,6,4,0-5,False
18,Jan,1,10,3,0-5,False
19,Jan,1,15,2,0-5,False
20,Jan,1,18,1,0-5,False
21,Jan,1,21,4,0-5,False
22,Jan,6,8,3,0-5,False
23,Jan,6,9,2,0-5,False
24,Jan,6,10,3,0-5,False
25,Jan,6,21,1,0-5,False
26,Jan,16,21,1,0-5,False
27,Jurij,1,1,12,0-5,False
28,Jurij,1,2,6,0-5,False
29,Jurij,1,3,8,0-5,False
30,Jurij,1,4,5,0-5,False
31,Jurij,1,5,8,0-5,False
32,Jurij,1,8,1,0-5,False
33,Jurij,1,9,3,0-5,False
34,Jurij,1,10,2,0-5,False
35,Jurij,1,11,1,0-5,False
36,Jurij,1,17,1,0-5,False
37,Jurij,1,21,1,0-5,False
38,Jurij,6,7,1,0-5,False
39,Jurij,6,8,3,0-5,False
40,Jurij,6,9,3,0-5,False
78,NinaP,1,1,2,1-5,False
79,NinaP,1,2,6,1-5,False
80,NinaP,1,3,3,1-5,False
81,NinaP,1,4,1,1-5,False
82,NinaP,1,5,2,1-5,False
83,NinaP,1,6,1,1-5,False
84,NinaP,1,7,1,1-5,False
85,NinaP,1,9,1,1-5,False
86,NinaP,1,13,1,1-5,False
87,NinaP,1,19,1,1-5,False
88,NinaP,1,21,1,1-5,False
89,NinaP,6,10,1,1-5,False
90,NinaP,6,13,1,1-5,False
91,NinaP,16,21,1,1-5,False
92,NinaU,1,1,2,1-5,False
93,NinaU,1,2,5,1-5,False
94,NinaU,1,3,7,1-5,False
95,NinaU,1,4,6,1-5,False
96,NinaU,1,5,14,1-5,False
97,Prosky,1,1,7,5-15,False
98,Prosky,1,2,3,5-15,False
99,Prosky,1,3,2,5-15,False
100,Prosky,1,4,2,5-15,False
101,Prosky,1,5,2,5-15,False
102,Prosky,1,7,1,5-15,False
103,Prosky,6,8,1,5-15,False
104,Prosky,6,9,1,5-15,False
105,Prosky,6,10,1,5-15,False
106,Prosky,6,15,1,5-15,False
107,Prosky,11,15,1,5-15,False
132,Tilen,1,1,10,5-15,False
133,Tilen,1,2,7,5-15,False
134,Tilen,1,3,5,5-15,False
135,Tilen,1,4,7,5-15,False
136,Tilen,1,5,2,5-15,False
137,Tilen,1,9,1,5-15,False
138,Tilen,6,8,6,5-15,False
139,Tilen,6,9,8,5-15,False
140,Tilen,6,10,7,5-15,False
141,Tilen,6,11,1,5-15,False
142,Tilen,11,11,1,5-15,False
143,Tilen,11,12,3,5-15,False
144,Tilen,11,13,3,5-15,False
145,Tilen,11,14,2,5-15,False
146,Tilen,11,15,3,5-15,False
147,Tilen,11,17,1,5-15,False
148,Tilen,16,18,5,5-15,False
149,Tilen,16,20,4,5-15,False
108,Tajda,1,1,3,0,True
109,Tajda,1,2,2,0,True
110,Tajda,1,3,5,0,True
111,Tajda,1,4,3,0,True
112,Tajda,1,5,2,0,True
56,MajaJ,1,1,1,0-5,True
57,MajaJ,1,2,1,0-5,True
58,MajaJ,1,3,2,0-5,True
59,MajaJ,1,4,2,0-5,True
60,MajaJ,1,5,9,0-5,True
61,MajaJ,1,7,1,0-5,True
62,MajaJ,6,7,1,0-5,True
63,MajaJ,6,8,3,0-5,True
64,Natalija,1,1,2,0-5,True
65,Natalija,1,2,6,0-5,True
66,Natalija,1,3,2,0-5,True
150,Zoja,1,1,12,0-5,True
151,Zoja,1,2,6,0-5,True
152,Zoja,1,3,11,0-5,True
153,Zoja,1,4,5,0-5,True
154,Zoja,1,5,2,0-5,True
0,Anej,1,1,18,15-30,True
1,Anej,1,2,4,15-30,True
2,Anej,1,3,4,15-30,True
3,Anej,1,4,1,15-30,True
4,Anej,1,5,7,15-30,True
5,Anej,1,6,1,15-30,True
6,Anej,1,7,2,15-30,True
7,Anej,1,9,1,15-30,True
8,Anej,1,15,1,15-30,True
9,Anej,1,17,2,15-30,True
10,Anej,1,21,1,15-30,True
11,Anej,16,17,1,15-30,True
