Person,Start,End,Frequency
processed_Story_Anej,1,1,18
processed_Story_Anej,1,2,4
processed_Story_Anej,1,3,4
processed_Story_Anej,1,4,1
processed_Story_Anej,1,5,7
processed_Story_Anej,1,6,1
processed_Story_Anej,1,7,2
processed_Story_Anej,1,9,1
processed_Story_Anej,1,15,1
processed_Story_Anej,1,17,2
processed_Story_Anej,1,21,1
processed_Story_Anej,16,17,1
processed_Story_Jan,1,1,4
processed_Story_Jan,1,2,6
processed_Story_Jan,1,3,8
processed_Story_Jan,1,4,7
processed_Story_Jan,1,5,7
processed_Story_Jan,1,6,4
processed_Story_Jan,1,10,3
processed_Story_Jan,1,15,2
processed_Story_Jan,1,18,1
processed_Story_Jan,1,21,4
processed_Story_Jan,6,8,3
processed_Story_Jan,6,9,2
processed_Story_Jan,6,10,3
processed_Story_Jan,6,21,1
processed_Story_Jan,16,21,1
processed_Story_Jurij,1,1,12
processed_Story_Jurij,1,2,6
processed_Story_Jurij,1,3,8
processed_Story_Jurij,1,4,5
processed_Story_Jurij,1,5,8
processed_Story_Jurij,1,8,1
processed_Story_Jurij,1,9,3
processed_Story_Jurij,1,10,2
processed_Story_Jurij,1,11,1
processed_Story_Jurij,1,17,1
processed_Story_Jurij,1,21,1
processed_Story_Jurij,6,7,1
processed_Story_Jurij,6,8,3
processed_Story_Jurij,6,9,3
processed_Story_Klara,1,1,5
processed_Story_Klara,1,2,1
processed_Story_Klara,1,4,1
processed_Story_Klara,1,5,13
processed_Story_Klara,1,6,2
processed_Story_Klara,1,7,1
processed_Story_Klara,6,7,2
processed_Story_Klara,6,8,6
processed_Story_Klara,6,9,9
processed_Story_Klara,6,10,2
processed_Story_Lucija,1,1,16
processed_Story_Lucija,1,2,10
processed_Story_Lucija,1,3,4
processed_Story_Lucija,1,4,2
processed_Story_Lucija,1,5,1
processed_Story_MajaJ,1,1,1
processed_Story_MajaJ,1,2,1
processed_Story_MajaJ,1,3,2
processed_Story_MajaJ,1,4,2
processed_Story_MajaJ,1,5,9
processed_Story_MajaJ,1,7,1
processed_Story_MajaJ,6,7,1
processed_Story_MajaJ,6,8,3
processed_Story_Natalija,1,1,2
processed_Story_Natalija,1,2,6
processed_Story_Natalija,1,3,2
processed_Story_NinaKa,1,1,20
processed_Story_NinaKa,1,2,8
processed_Story_NinaKa,1,3,8
processed_Story_NinaKa,1,4,5
processed_Story_NinaKa,1,5,6
processed_Story_NinaKa,1,7,1
processed_Story_NinaKa,6,6,6
processed_Story_NinaKa,6,7,12
processed_Story_NinaKa,6,8,10
processed_Story_NinaKa,6,9,12
processed_Story_NinaKa,6,10,8
processed_Story_NinaP,1,1,2
processed_Story_NinaP,1,2,6
processed_Story_NinaP,1,3,3
processed_Story_NinaP,1,4,1
processed_Story_NinaP,1,5,2
processed_Story_NinaP,1,6,1
processed_Story_NinaP,1,7,1
processed_Story_NinaP,1,9,1
processed_Story_NinaP,1,13,1
processed_Story_NinaP,1,19,1
processed_Story_NinaP,1,21,1
processed_Story_NinaP,6,10,1
processed_Story_NinaP,6,13,1
processed_Story_NinaP,16,21,1
processed_Story_NinaU,1,1,2
processed_Story_NinaU,1,2,5
processed_Story_NinaU,1,3,7
processed_Story_NinaU,1,4,6
processed_Story_NinaU,1,5,14
processed_Story_Prosky,1,1,7
processed_Story_Prosky,1,2,3
processed_Story_Prosky,1,3,2
processed_Story_Prosky,1,4,2
processed_Story_Prosky,1,5,2
processed_Story_Prosky,1,7,1
processed_Story_Prosky,6,8,1
processed_Story_Prosky,6,9,1
processed_Story_Prosky,6,10,1
processed_Story_Prosky,6,15,1
processed_Story_Prosky,11,15,1
processed_Story_Tajda,1,1,3
processed_Story_Tajda,1,2,2
processed_Story_Tajda,1,3,5
processed_Story_Tajda,1,4,3
processed_Story_Tajda,1,5,2
processed_Story_Teja,1,1,5
processed_Story_Teja,1,2,4
processed_Story_Teja,1,3,7
processed_Story_Teja,1,4,11
processed_Story_Teja,1,5,15
processed_Story_Teja,1,6,4
processed_Story_Teja,1,7,2
processed_Story_Teja,1,8,1
processed_Story_Teja,1,9,1
processed_Story_Teja,1,10,1
processed_Story_Teja,1,11,1
processed_Story_Teja,1,15,2
processed_Story_Teja,1,18,1
processed_Story_Teja,1,21,5
processed_Story_Teja,6,9,1
processed_Story_Teja,6,10,1
processed_Story_Teja,6,21,1
processed_Story_Teja,11,13,1
processed_Story_Teja,11,16,1
processed_Story_Tilen,1,1,10
processed_Story_Tilen,1,2,7
processed_Story_Tilen,1,3,5
processed_Story_Tilen,1,4,7
processed_Story_Tilen,1,5,2
processed_Story_Tilen,1,9,1
processed_Story_Tilen,6,8,6
processed_Story_Tilen,6,9,8
processed_Story_Tilen,6,10,7
processed_Story_Tilen,6,11,1
processed_Story_Tilen,11,11,1
processed_Story_Tilen,11,12,3
processed_Story_Tilen,11,13,3
processed_Story_Tilen,11,14,2
processed_Story_Tilen,11,15,3
processed_Story_Tilen,11,17,1
processed_Story_Tilen,16,18,5
processed_Story_Tilen,16,20,4
processed_Story_Zoja,1,1,12
processed_Story_Zoja,1,2,6
processed_Story_Zoja,1,3,11
processed_Story_Zoja,1,4,5
processed_Story_Zoja,1,5,2
