,name,playtime
5,,48.603153
29,,55.819011
17,,58.028025
2,,58.308692
10,,58.326073
0,,58.53243
1,,59.825564
3,,60.830059
18,,61.826948
15,,66.81751
6,,69.01262
32,,72.311503
30,,73.821399
7,,77.915297
33,,79.81862
12,,81.312322
31,,81.327096
4,,82.393347
14,,82.789606
8,,90.822679
28,,92.551228
26,,95.929851
19,,96.816915
34,,100.324731
22,,101.427877
24,,101.77565
11,,102.393146
16,,108.31042
13,,108.826125
25,,111.24461
35,,111.807043
9,,117.820963
20,,118.308449
23,,128.543016
27,,137.595898
21,,227.094891
36,Story_Zoja_7d6_games.csv,3239.212767
